lat_grid,lon_grid,nm_crashes,inside_nm_crashes,school_age_nm_crashes,counties,inside_nm_share_pct,school_age_nm_share_pct
39.025000000000006,-77.025,22,22,6,Montgomery,100.0,27.27272727272727
39.025000000000006,-77.0,21,21,5,Montgomery,100.0,23.809523809523807
39.025000000000006,-76.97500000000001,20,14,1,"Montgomery, Prince George's",70.0,5.0
39.025000000000006,-76.95,5,3,0,Prince George's,60.0,0.0
39.025000000000006,-76.92500000000001,21,20,1,Prince George's,95.23809523809523,4.761904761904762
39.025000000000006,-76.9,9,7,1,Prince George's,77.77777777777779,11.11111111111111
39.025000000000006,-76.7,3,3,0,Anne Arundel,100.0,0.0
39.025000000000006,-76.675,17,17,1,Anne Arundel,100.0,5.88235294117647
39.025000000000006,-76.5,3,1,1,Anne Arundel,33.33333333333333,33.33333333333333
39.025000000000006,-76.47500000000001,4,1,0,Anne Arundel,25.0,0.0
39.050000000000004,-77.2,3,2,0,Montgomery,66.66666666666666,0.0
39.050000000000004,-77.15,10,5,0,Montgomery,50.0,0.0
39.050000000000004,-77.125,53,30,0,Montgomery,56.60377358490566,0.0
39.050000000000004,-77.10000000000001,21,5,0,Montgomery,23.809523809523807,0.0
39.050000000000004,-77.075,32,32,9,Montgomery,100.0,28.125
39.050000000000004,-77.05000000000001,63,63,7,Montgomery,100.0,11.11111111111111
39.050000000000004,-77.0,15,15,0,Montgomery,100.0,0.0
39.050000000000004,-76.97500000000001,18,1,0,Montgomery,5.555555555555555,0.0
39.050000000000004,-76.95,19,12,2,"Montgomery, Prince George's",63.1578947368421,10.526315789473683
39.050000000000004,-76.92500000000001,4,4,1,Prince George's,100.0,25.0
39.050000000000004,-76.9,10,3,0,Prince George's,30.0,0.0
39.050000000000004,-76.525,6,5,0,Anne Arundel,83.33333333333334,0.0
39.075,-77.17500000000001,11,10,2,Montgomery,90.9090909090909,18.181818181818183
39.075,-77.15,32,31,4,Montgomery,96.875,12.5
39.075,-77.125,21,13,1,Montgomery,61.904761904761905,4.761904761904762
39.075,-77.10000000000001,4,4,0,Montgomery,100.0,0.0
39.075,-77.075,43,43,5,Montgomery,100.0,11.627906976744185
39.075,-77.05000000000001,8,7,4,Montgomery,87.5,50.0
39.075,-77.025,6,5,0,Montgomery,83.33333333333334,0.0
39.075,-77.0,11,9,1,Montgomery,81.81818181818183,9.090909090909092
39.075,-76.97500000000001,9,4,0,Montgomery,44.44444444444444,0.0
39.075,-76.95,19,18,1,Montgomery,94.73684210526315,5.263157894736842
39.075,-76.92500000000001,5,2,1,"Montgomery, Prince George's",40.0,20.0
39.075,-76.875,12,6,0,Prince George's,50.0,0.0
39.075,-76.85000000000001,20,20,3,Prince George's,100.0,15.0
39.075,-76.7,11,11,2,Anne Arundel,100.0,18.181818181818183
39.075,-76.675,3,3,1,Anne Arundel,100.0,33.33333333333333
39.075,-76.575,5,3,2,Anne Arundel,60.0,40.0
39.075,-76.55,14,13,5,Anne Arundel,92.85714285714286,35.714285714285715
39.1,-77.22500000000001,5,4,1,Montgomery,80.0,20.0
39.1,-77.2,8,4,0,Montgomery,50.0,0.0
39.1,-77.17500000000001,8,5,0,Montgomery,62.5,0.0
39.1,-77.15,27,23,1,Montgomery,85.18518518518519,3.7037037037037033
39.1,-77.125,8,8,1,Montgomery,100.0,12.5
39.1,-77.10000000000001,8,8,4,Montgomery,100.0,50.0
39.1,-77.075,17,6,0,Montgomery,35.294117647058826,0.0
39.1,-77.05000000000001,12,9,2,Montgomery,75.0,16.666666666666664
39.1,-77.0,3,3,0,Montgomery,100.0,0.0
39.1,-76.95,3,3,0,Montgomery,100.0,0.0
39.1,-76.92500000000001,3,1,0,Montgomery,33.33333333333333,0.0
39.1,-76.9,4,3,0,Prince George's,75.0,0.0
39.1,-76.875,10,9,1,Prince George's,90.0,10.0
39.1,-76.85000000000001,48,38,0,"Howard, Prince George's",79.16666666666666,0.0
39.1,-76.825,13,11,0,Anne Arundel,84.61538461538461,0.0
39.1,-76.80000000000001,16,8,2,Anne Arundel,50.0,12.5
39.1,-76.72500000000001,4,2,0,Anne Arundel,50.0,0.0
39.1,-76.7,4,4,0,Anne Arundel,100.0,0.0
39.1,-76.60000000000001,4,2,1,Anne Arundel,50.0,25.0
39.1,-76.575,8,5,2,Anne Arundel,62.5,25.0
39.125,-77.25,11,11,3,Montgomery,100.0,27.27272727272727
39.125,-77.22500000000001,14,14,1,Montgomery,100.0,7.142857142857142
39.125,-77.2,24,17,3,Montgomery,70.83333333333334,12.5
39.125,-77.17500000000001,32,14,0,Montgomery,43.75,0.0
39.125,-77.15,5,0,0,Montgomery,0.0,0.0
39.125,-76.92500000000001,3,2,0,Montgomery,66.66666666666666,0.0
39.125,-76.85000000000001,5,5,1,Howard,100.0,20.0
39.125,-76.825,5,0,0,Howard,0.0,0.0
39.125,-76.80000000000001,3,0,0,Howard,0.0,0.0
39.125,-76.75,4,4,0,Anne Arundel,100.0,0.0
39.125,-76.7,6,5,1,Anne Arundel,83.33333333333334,16.666666666666664
39.125,-76.675,3,3,1,Anne Arundel,100.0,33.33333333333333
39.125,-76.65,8,6,1,Anne Arundel,75.0,12.5
39.125,-76.625,9,9,1,Anne Arundel,100.0,11.11111111111111
39.125,-76.60000000000001,10,1,0,Anne Arundel,10.0,0.0
39.125,-76.575,11,7,0,Anne Arundel,63.63636363636363,0.0
39.125,-76.55,6,5,1,Anne Arundel,83.33333333333334,16.666666666666664
39.125,-76.525,10,8,0,Anne Arundel,80.0,0.0
39.150000000000006,-77.275,8,8,0,Montgomery,100.0,0.0
39.150000000000006,-77.25,3,2,0,Montgomery,66.66666666666666,0.0
39.150000000000006,-77.22500000000001,33,9,0,Montgomery,27.27272727272727,0.0
39.150000000000006,-77.2,47,44,3,Montgomery,93.61702127659575,6.382978723404255
39.150000000000006,-77.17500000000001,10,10,1,Montgomery,100.0,10.0
39.150000000000006,-77.15,5,5,2,Montgomery,100.0,40.0
39.150000000000006,-77.075,10,10,1,Montgomery,100.0,10.0
39.150000000000006,-77.05000000000001,6,4,0,Montgomery,66.66666666666666,0.0
39.150000000000006,-76.9,5,1,0,Howard,20.0,0.0
39.150000000000006,-76.825,4,4,1,Howard,100.0,25.0
39.150000000000006,-76.80000000000001,7,1,0,Howard,14.285714285714285,0.0
39.150000000000006,-76.72500000000001,25,4,0,Anne Arundel,16.0,0.0
39.150000000000006,-76.7,6,1,0,Anne Arundel,16.666666666666664,0.0
39.150000000000006,-76.675,3,1,0,Anne Arundel,33.33333333333333,0.0
39.150000000000006,-76.65,10,7,0,Anne Arundel,70.0,0.0
39.150000000000006,-76.625,19,19,4,Anne Arundel,100.0,21.052631578947366
39.150000000000006,-76.60000000000001,13,12,2,Anne Arundel,92.3076923076923,15.384615384615385
39.150000000000006,-76.55,4,3,1,Anne Arundel,75.0,25.0
39.150000000000006,-76.525,17,14,3,Anne Arundel,82.35294117647058,17.647058823529413
39.175000000000004,-77.275,24,24,6,Montgomery,100.0,25.0
39.175000000000004,-77.25,15,13,2,Montgomery,86.66666666666667,13.333333333333334
39.175000000000004,-77.22500000000001,9,6,1,Montgomery,66.66666666666666,11.11111111111111
39.175000000000004,-77.2,26,23,5,Montgomery,88.46153846153845,19.230769230769234
39.175000000000004,-77.17500000000001,8,7,0,Montgomery,87.5,0.0
39.175000000000004,-76.85000000000001,3,2,1,Howard,66.66666666666666,33.33333333333333
39.175000000000004,-76.825,10,4,1,Howard,40.0,10.0
39.175000000000004,-76.775,15,1,1,Howard,6.666666666666667,6.666666666666667
39.175000000000004,-76.675,8,0,0,Anne Arundel,0.0,0.0
39.175000000000004,-76.625,22,17,0,Anne Arundel,77.27272727272727,0.0
39.175000000000004,-76.60000000000001,8,3,0,Anne Arundel,37.5,0.0
39.175000000000004,-76.525,3,2,0,Anne Arundel,66.66666666666666,0.0
39.2,-77.275,7,7,0,Montgomery,100.0,0.0
39.2,-77.25,28,28,0,Montgomery,100.0,0.0
39.2,-77.2,3,0,0,Montgomery,0.0,0.0
39.2,-76.875,3,3,0,Howard,100.0,0.0
39.2,-76.85000000000001,10,7,2,Howard,70.0,20.0
39.2,-76.825,11,8,2,Howard,72.72727272727273,18.181818181818183
39.2,-76.80000000000001,4,4,0,Howard,100.0,0.0
39.2,-76.75,5,3,1,Howard,60.0,20.0
39.2,-76.72500000000001,11,7,1,"Anne Arundel, Howard",63.63636363636363,9.090909090909092
39.2,-76.675,10,0,0,Anne Arundel,0.0,0.0
39.2,-76.65,6,6,1,Anne Arundel,100.0,16.666666666666664
39.2,-76.625,20,14,1,Anne Arundel,70.0,5.0
39.2,-76.60000000000001,13,11,0,Anne Arundel,84.61538461538461,0.0
39.225,-77.275,5,5,2,Montgomery,100.0,40.0
39.225,-77.25,13,13,7,Montgomery,100.0,53.84615384615385
39.225,-76.9,3,3,1,Howard,100.0,33.33333333333333
39.225,-76.875,13,13,3,Howard,100.0,23.076923076923077
39.225,-76.85000000000001,4,2,0,Howard,50.0,0.0
39.225,-76.825,4,3,2,Howard,75.0,50.0
39.225,-76.80000000000001,3,3,0,Howard,100.0,0.0
39.225,-76.7,5,2,0,"Baltimore County, Howard",40.0,0.0
